0_0,0_1,0_2,0_3,0_4,1_0,1_1,1_2,1_3,1_4,2_0,2_1,2_2,2_3,2_4,3_0,3_1,3_2,3_3,3_4,4_0,4_1,4_2,4_3,4_4
102,0.1,0.12,0.1,0.12,0.12,0.11,0.13,0.13,0.12,0.13,0.1,0.12,0.2,0.15,0.14,0.13,0.13,0.15,0.15,0.1,0.13,0.13,0.11,0.12,0.14
103,0.1,0.12,0.1,0.12,0.12,0.11,0.13,0.13,0.12,0.13,0.1,0.12,0.2,0.15,0.14,0.13,0.13,0.15,0.15,0.1,0.13,0.13,0.11,0.12,0.14
104,0.1,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.1,0.12,0.2,0.15,0.13,0.13,0.13,0.15,0.15,0.1,0.13,0.13,0.11,0.13,0.14
105,0.1,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.1,0.12,0.2,0.15,0.13,0.13,0.13,0.15,0.15,0.1,0.13,0.13,0.11,0.13,0.14
106,0.1,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.09,0.12,0.2,0.15,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.11,0.12,0.14
107,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.09,0.12,0.2,0.15,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.11,0.12,0.14
108,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.09,0.12,0.2,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.11,0.12,0.14
109,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.09,0.12,0.2,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
110,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.09,0.12,0.2,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
111,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.09,0.12,0.21,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
112,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.14,0.1,0.12,0.21,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
113,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.12,0.15,0.1,0.12,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
114,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.11,0.15,0.1,0.12,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
115,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.11,0.16,0.1,0.12,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
116,0.09,0.12,0.1,0.12,0.12,0.12,0.13,0.12,0.11,0.16,0.1,0.12,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
117,0.09,0.12,0.1,0.13,0.12,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
118,0.09,0.12,0.1,0.13,0.12,0.12,0.13,0.12,0.11,0.17,0.11,0.11,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
119,0.09,0.12,0.1,0.13,0.13,0.12,0.13,0.12,0.11,0.17,0.11,0.11,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
120,0.09,0.12,0.1,0.13,0.13,0.12,0.13,0.12,0.11,0.17,0.11,0.11,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
121,0.09,0.12,0.1,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
122,0.09,0.12,0.1,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.16,0.13,0.13,0.13,0.15,0.16,0.1,0.13,0.13,0.12,0.12,0.14
123,0.09,0.12,0.1,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.16,0.13,0.13,0.14,0.16,0.16,0.1,0.13,0.13,0.12,0.12,0.14
124,0.09,0.12,0.09,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.16,0.13,0.13,0.14,0.16,0.17,0.1,0.13,0.13,0.12,0.12,0.14
125,0.09,0.12,0.09,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.15,0.14,0.13,0.14,0.16,0.17,0.1,0.13,0.13,0.12,0.12,0.14
126,0.09,0.12,0.09,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.15,0.15,0.13,0.13,0.16,0.17,0.1,0.13,0.13,0.12,0.12,0.14
127,0.09,0.12,0.09,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.15,0.15,0.13,0.13,0.16,0.17,0.1,0.13,0.13,0.12,0.12,0.14
128,0.09,0.12,0.09,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.15,0.15,0.13,0.13,0.16,0.17,0.1,0.13,0.13,0.12,0.12,0.14
129,0.09,0.12,0.09,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.11,0.11,0.22,0.16,0.15,0.13,0.14,0.16,0.17,0.1,0.13,0.13,0.12,0.12,0.14
130,0.09,0.12,0.09,0.13,0.13,0.12,0.13,0.12,0.11,0.16,0.12,0.11,0.22,0.16,0.15,0.13,0.14,0.16,0.17,0.1,0.13,0.13,0.12,0.12,0.14
